INF [20100405-20:04:55.284] w3c: 7 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a9,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.292] w3c: 7 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b9,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.295] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_9,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:04:55.300] w3c: 4 - - - - - - - RowzShards:add_child_shard 30,28,1
INF [20100405-20:04:55.302] w3c: 1 - - - - - - - RowzShards:add_child_shard 30,29,1
INF [20100405-20:04:55.304] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:-1844674407370955167,_shard_id:30)
INF [20100405-20:21:36.581] w3c: 45 - - - - - - - RowzShards:rebuild_schema 
INF [20100405-20:21:36.588] w3c: 5 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.594] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_b0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.598] w3c: 2 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.gizzard.shards.ReplicatingShard,_table_prefix:replicating_0,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
INF [20100405-20:21:36.603] w3c: 5 - - - - - - - RowzShards:add_child_shard 3,1,1
INF [20100405-20:21:36.605] w3c: 1 - - - - - - - RowzShards:add_child_shard 3,2,1
INF [20100405-20:21:36.607] w3c: 1 - - - - - - - RowzShards:set_forwarding Forwarding(table_id:0,_base_id:0,_shard_id:3)
INF [20100405-20:21:36.612] w3c: 4 - - - - - - - RowzShards:create_shard ShardInfo(class_name:com.twitter.rowz.SqlShard,_table_prefix:data_a1,_hostname:localhost,_source_type:,_destination_type:,_busy:0,_shard_id:0)
